pytanie,odpowiedz
Czy mogę wybrać godzinę dostawy? Czy istnieje możliwość dostawy w wybrany dzień?,"Niestety nie mamy możliwości dostarczania przesyłek w godzinach proponowanych przez Klienta. Firmy spedycyjne oraz kurierskie ustalają dzień oraz godzinę doręczenia na podstawie tras logistycznych. Nie jesteśmy w stanie zapewnić, że produkt trafi do Państwa w konkretnym dniu i godzinie."
Jaki jest czas dostawy?,"Czas dostawy jest określony przy każdym produkcie. W przypadku zamówienia powyżej 1 sztuki spodziewaj się kilku dostaw, ponieważ bardzo często wychodzą one od różnych producentów i innymi terminami realizacji. Średni czas dostawy przez kuriera to 48h, w przypadku dostawy firmą spedycyjną to 2-3 dni."
Czy przewoźnik skontaktuje się ze mną przed dostawą?,"W przypadku dostawy firmą spedycyjną, przewoźnik podejmie kontakt telefoniczny lub SMS-owy 24h przed dostawą, podczas którego poda przedział godzinowy planowanego doręczenia. Jeśli Twoje zamówienie będzie dostarczał kurier, możesz śledzić status swojej przesyłki na dedykowanej stronie przewoźnika. W dniu wysyłki każdego produktu otrzymasz od nas powiadomienie z numerem przesyłki oraz nazwą przewoźnika, który zrealizuje dostawę."
Jaki jest koszt dostawy?,"Jeśli w koszyku masz kilka produktów, nie sumujemy kosztów dostawy. Płacisz tylko raz - najwyższy koszt dostawy spośród wszystkich wybranych produktów. Pełną kwotę zobaczysz w koszyku, zanim przejdziesz do płatności."
Czy kurier wniesie moje zamówienie?,"Kurier nie zawsze ma obowiązek wniesienia zamówionej przez Ciebie przesyłki. Kurier ma obowiązek wniesienia przesyłki jeżeli jej waga nie przekracza 30 kg. Chyba, że została wybrana opcja dostawy z wniesieniem, wówczas przewoźnik wniesie przesyłkę do pierwszego pomieszczenia w lokalu."
Czy przewoźnik wnosi mebel do wybranego pomieszczenia?,Przewoźnik wniesie przesyłkę do pierwszego pomieszczenia w lokalu.
Czy jest możliwość jednej dostawy wszystkich produktów?,"Nasze produkty posiadają różne czasy wysyłki i są wysyłane z różnych magazynów. Jedna dostawa wiąże się z wydłużeniem czasu realizacji oraz zwiększeniem kosztów dostawy. Jeśli zdecydujesz się na to rozwiązanie, skontaktuj się z nami na: biuro@selsey.pl."
Czy jest możliwa wysyłka zagranicę?,"Obecnie zamówienia z polskiego sklepu realizujemy wyłącznie na terenie kraju. Jeśli jesteś z Niemiec, możesz wygodnie złożyć zamówienie w naszym niemieckim sklepie: https://selsey.de/"
"Czy muszę założyć konto, aby dokonać zakupu?",Nie. Możesz dokonać zakupu bez rejestracji. Zachęcamy jednak do założenia konta. Na bieżąco będziesz mógł śledzić status realizacji swojego zamówienia.
W jaki sposób mogę anulować swoje zamówienie?,"Jeśli chcesz anulować zamówienie, skontaktuj się z nami, wypełniając formularz lub wysyłając wiadomość email na adres: orders@selsey.pl."
Jak mogę sprawdzić status zamówienia?,"Aktualny status zamówienia dostępny jest pod linkiem, który umieszczamy w powiadomieniach do zamówienia. Jeśli pojawią się dodatkowe pytania zachęcamy do kontaktu z nami pod adresem orders@selsey.pl lub na chacie dostępnym na stronie naszego sklepu."
"Czy jest możliwość opóźnienia wysyłki zamówienia? Jeśli tak, to o jaki czas?","Tak, możemy opóźnić wysyłkę Twojego zamówienia, ale maksymalnie o 20 dni kalendarzowych od czasu wysyłki, który podany jest w ofercie. Informacja musi trafić do nas w uwagach do zamówienia. Zamówienia z czasem realizacji 24-48h nie podlegają opóźnieniu wysyłki."
"Co oznacza, że produkt jest w przedsprzedaży?","Oznacza to, że obecnie nie posiadamy na swoim magazynie zapasu tego produktu, ale oczekujemy na dostawę dużej ilości. W związku z produkcją dużej partii produktu terminy wysyłki mogą ulec przesunięciu. Najczęściej zakup w przedsprzedaży wiąże się również z lepszą ceną."
Jak mogę złożyć zamówienie?,"Zamówienie możesz złożyć bezpośrednio przez naszą stronę internetową, dodając produkty do koszyka i przechodząc przez proces zamówienia."
Czy oferujecie montaż mebli?,"Tak, przy wybranych produktach oferujemy taką usługę. Informacja o dostępności takiej usługi widoczna jest na karcie produktu."
Czy kolory mebli mogą różnić się od tych na zdjęciach?,"Tak, niewielkie różnice kolorystyczne są możliwe ze względu na ustawienia monitora oraz oświetlenie podczas zdjęć."
Czy wszystkie meble wymagają montażu?,"Większość mebli dostarczana jest w paczkach do samodzielnego montażu, z instrukcją."
Czy oferujecie meble na wymiar?,"Meble oferowane w naszym sklepie są dostępne jedynie w kolorach i rozmiarach podanych na stronie konkretnego produktu. Nie mamy możliwości zmiany rozmiaru, czy wprowadzenia dodatkowych barw. W trosce o powtarzalność i jakość naszych produktów unikamy sprzedaży mebli na wymiar. Służymy natomiast doradztwem, by dopasować rozwiązanie do Twoich indywidualnych potrzeb."
Czy mogę zamówić próbki tkanin?,"Tak, wszystkie oferowane próbki tkanin znajdziesz pod tym linkiem ."
Czy mogę opłacić zamówienie przy dostawie?,Nie ma możliwości zapłaty za zamówienie przy odbiorze.
"Ile mam czasu na opłacenie zamówienia, zanim zostanie ono anulowane?","Płatność jest wymagana w momencie składania zamówienia. Akceptujemy karty kredytowe, Apple Pay, Google Pay oraz Przelewy24 (w tym BLIK). Jedynym wyjątkiem jest płatność ratalna - w tym przypadku masz 48 godzin na wypełnienie wniosku kredytowego w banku."
W jaki sposób mogę złożyć reklamację?,Reklamację możesz złożyć przez formularz dostępny na naszej stronie lub wysyłając wiadomość na adres: reklamacje@selsey.pl. Opisz proszę dokładnie swój problem i jeśli jest to możliwe załącz zdjęcia. Prosimy nie wyrzucaj opakowań zewnętrznych reklamowanych produktów.
Ile mam czasu na zgłoszenie reklamacji?,"Od momentu dostawy produktu, masz 24 miesiące na zgłoszenie reklamacji."
W jakim czasie reklamacje są rozpatrywane?,"Reklamacje rozpatrujemy w terminie do 14 dni kalendarzowych od złożenia stosownego zgłoszenia, zgodnie z obowiązującymi przepisami."
"Kurier poinformował mnie, że przesyłka jest uszkodzona. Co robić?","W takim przypadku nie odbieraj uszkodzonej przesyłki. Jest bardzo prawdopodobne, że jeśli paczka jest zniszczona, produkt znajdujący się wewnątrz również doznał uszkodzeń. Jeśli jednak uważasz, że uszkodzenie paczki nie będzie miało wpływu na stan produktu, możesz przyjąć paczkę. Jednak pamiętaj, by odnotować na protokole dostawy informację o uszkodzeniu opakowania. Dokonaj również oględzin wnętrza paczki przy kurierze, a w przypadku wystąpienia uszkodzeń na produkcie, odnotuj to z kurierem na protokole dostawy."
Produkt dotarł uszkodzony. Co mogę zrobić?,"W przypadku odkrycia uszkodzenia mebla po otwarciu paczki, koniecznie skontaktuj się z dostawcą w celu spisania protokołu szkody. Masz na to aż 7 dni od momentu doręczenia przesyłki. Kolejnym krokiem jest kontakt z nami przez formularz kontaktowy lub wysyłając wiadomość na nasz adres: reklamacje@selsey.pl."
"Otrzymałem produkt inny, niż zamawiałem, co robić?","Nie rozpoczynaj użytkowania ani nie montuj produktu. Tak szybko jak to możliwe wypełnij nasz formularz reklamacyjny. Pamiętaj, aby dołączyć do niego zdjęcie etykiety otrzymanego produktu. Pozwoli nam to sprawniej zweryfikować pomyłkę."
W jaki sposób mogę zgłosić chęć zwrotu produktu?,"Chęć zwrotu możesz zgłosić przez, formularz dostępny na naszej stronie lub wysyłając wiadomość na adres: reklamacje@selsey.pl. Szczegółowe informacje dotyczące procedury zwrotu znajdziesz w zakładce Reklamacje i zwroty."
Jaki mam czas na odstąpienie od umowy i zwrot produktu?,Standardowo masz 14 dni kalendarzowych na zwrot produktu od momentu jego dostawy. Jeżeli jesteś subskrybentem naszego newslettera czas na zwrot od momentu dostawy wydłuża się do 60 dni.
Kiedy otrzymam zwrot pieniędzy za zwrócony przedmiot?,Zwrot środków realizowany jest do 14 dni kalendarzowych od momentu dostarczenia produktu na magazyn Sprzedającego.
