sklep_marka;domowy_url;kat_a;kat_b;pytanie;odpowiedz
Mebligo;https://mebligo.pl;;;O której godzinie będzie kierowca z dostawą?;O terminie informujemy klientów w smsie wysyłanym na numer telefonu podany przy zamówieniu. Wyznaczony jest 4-godzinny przedział czasowy, w którym kierowca powinien pojawić się z dostawą. Kierowca może zadzwonić np. 1 godz. przed dostawą i poinformować o przybliżonej godzinie dostawy jeśli zgłosisz taką prośbę przy składaniu zamówienia. W wyjątkowych sytuacjach możesz też skontaktować się z naszym kierowcą w dniu dostawy.
Mebligo;https://mebligo.pl;;;Czy zabierzemy stare meble?;Niestety, nie oferujemy usługi recyklingu starych mebli.
Mebligo;https://mebligo.pl;;;Czy można odebrać zamówienie osobiście z siedziby firmy?;Niestety, nie ma możliwości odbioru osobistego w siedzibie firmy.
Mebligo;https://mebligo.pl;;;Czy mebel pakowany jest w paczkach?;Większość oferowanych produktów dostarczamy w kilku elementach do samodzielnego montażu. Ilość paczek zależna jest od kategorii oraz modelu, który został wybrany.
Mebligo;https://mebligo.pl;;;Czy zostanę poinformowany, kiedy i w jakich godzinach zostaną dostarczone zamówione przeze mnie meble?;Ok. 3-4 dni przed planowaną dostawą Klient otrzymuje od nas wiadomość sms o dniu dostawy. Podajemy 4-godzinny przedział czasowy, w którym mebel powinien zostać dostarczony. Prosimy też o kliknięcie linku i potwierdzenie terminu.
Mebligo;https://mebligo.pl;;;Czy można płacić w ratach?;Tak, przy płatności dostępne są informacje o płatnościach ratalnych.
Mebligo;https://mebligo.pl;;;Jak dokonać zakupów na raty?;Wszystkie informacje otrzymasz w banku, z którego oferty chcą Państwo skorzystać.
Mebligo;https://mebligo.pl;;;Jakie są metody płatności?;BLIK, Przelewy24, raty (Santander - Przelewy24), płatność przy odbiorze.
Mebligo;https://mebligo.pl;;;Link do płatności nie działa – co robić? Czy muszę składać zamówienie od nowa?;Zamówienie do nas dociera, jednak nie jest opłacone. Jeśli zauważysz, że płatność nie powiodła się, prosimy wybrać inną formę płatności, skontaktować się z bankiem lub z BOK.
Mebligo;https://mebligo.pl;;;Kiedy otrzymam dokument sprzedaży za moje zamówienie?;"Paragon zostaje wysłany drogą elektroniczną (przy płatności elektronicznej wysyłamy go od razu po opłaceniu zamówienia; przy pobraniu - po dostarczeniu mebla)."
Mebligo;https://mebligo.pl;;;Chciałbym otrzymać fakturę VAT za zakupiony towar – w jaki sposób mogę ją uzyskać?;"Jeśli przy składaniu zamówienia podasz podane poprawne dane, w tym NIP - wystawimy fakturę (otrzymasz ją przy płatności elektronicznej od razu po opłaceniu zamówienia; przy pobraniu - po dostarczeniu mebla)."
Mebligo;https://mebligo.pl;;;Czy przy płatności pobraniowej mogę płacić kartą?;Tak, nasi kierowcy posiadają terminale. Poinformuj nas jednak wcześniej o chęci płatności kartą przy odbiorze.
Mebligo;https://mebligo.pl;;;Jak złożyć zamówienie;W sklepie internetowym: Aby złożyć zamówienie w naszym sklepie, wybierz interesujący Cię produkt oraz jego parametry (kolor, stronę, rodzaj tkaniny, wypełnienie, itp.) zgodnie z Twoimi oczekiwaniami. Następnie dodaj produkt do koszyka. Uzupełnij dane adresowe i zaznacz sposób dostawy, jaki preferujesz. Wybierz najwygodniejszą formę płatności oraz w odpowiednim miejscu potwierdź akceptację regulaminu sklepu. Przed kliknięciem “POTWIERDŹ ZAKUP” upewnij się, czy wszystko się zgadza. Gotowe! Twój mebel w ciągu 10 dni roboczych trafi do Ciebie. lub Telefonicznie: Przygotuj nazwę mebla oraz niezbędne informacje (kolor, wypełnienie, kolor nóżek, system rozkładania, którym jesteś zainteresowany). Będziesz również poproszony o podanie wszystkich danych osobowych (imię, nazwisko, adres, nr tel oraz adres mailowy). Wszystko to możesz podać w czasie rozmowy telefonicznej z naszym konsultantem, który przyjmie Twoje zamówienie (telefon: +48 455 455 044).
Mebligo;https://mebligo.pl;;;Jak mogę anulować zamówienie ?;Aby anulować złożone zamówienie, napisz do nas wiadomość na adres kontakt@mebligo.pl lub zadzwoń na numer +48 455 455 044.
Mebligo;https://mebligo.pl;;;Czy mogę zmodyfikować moje zamówienie i np. dodać do niego produkty?;Nie. Raz złożonego zamówienia nie możesz modyfikować. Możesz np. anulować pierwsze zamówienie, a następnie złożyć kolejne zamówienie. Wszystkie wątpliwości rozwieją nasi konsultanci z BOK.
Mebligo;https://mebligo.pl;;;Skąd dowiem się, jaki jest stan realizacji mojego zamówienia?;Po wyznaczeniu terminu dostawy otrzymasz sms ze wszystkimi informacjami.
Mebligo;https://mebligo.pl;;;Ile wynosi czas realizacji zamówienia?;Twoje meble dotrą do Ciebie w ciągu 10 dni roboczych.
Selsey;https://selsey.pl;;;Czy mogę wybrać godzinę dostawy? Czy istnieje możliwość dostawy w wybrany dzień?;Niestety nie mamy możliwości dostarczania przesyłek w godzinach proponowanych przez Klienta. Firmy spedycyjne oraz kurierskie ustalają dzień oraz godzinę doręczenia na podstawie tras logistycznych. Nie jesteśmy w stanie zapewnić, że produkt trafi do Państwa w konkretnym dniu i godzinie.
Selsey;https://selsey.pl;;;Jaki jest czas dostawy?;Czas dostawy jest określony przy każdym produkcie. W przypadku zamówienia powyżej 1 sztuki spodziewaj się kilku dostaw, ponieważ bardzo często wychodzą one od różnych producentów i innymi terminami realizacji. Średni czas dostawy przez kuriera to 48h, w przypadku dostawy firmą spedycyjną to 2-3 dni.
Selsey;https://selsey.pl;;;Czy przewoźnik skontaktuje się ze mną przed dostawą?;W przypadku dostawy firmą spedycyjną, przewoźnik podejmie kontakt telefoniczny lub SMS-owy 24h przed dostawą, podczas którego poda przedział godzinowy planowanego doręczenia. Jeśli Twoje zamówienie będzie dostarczał kurier, możesz śledzić status swojej przesyłki na dedykowanej stronie przewoźnika. W dniu wysyłki każdego produktu otrzymasz od nas powiadomienie z numerem przesyłki oraz nazwą przewoźnika, który zrealizuje dostawę.
Selsey;https://selsey.pl;;;Jaki jest koszt dostawy?;Jeśli w koszyku masz kilka produktów, nie sumujemy kosztów dostawy. Płacisz tylko raz - najwyższy koszt dostawy spośród wszystkich wybranych produktów. Pełną kwotę zobaczysz w koszyku, zanim przejdziesz do płatności.
Selsey;https://selsey.pl;;;Czy kurier wniesie moje zamówienie?;Kurier nie zawsze ma obowiązek wniesienia zamówionej przez Ciebie przesyłki. Kurier ma obowiązek wniesienia przesyłki jeżeli jej waga nie przekracza 30 kg. Chyba, że została wybrana opcja dostawy z wniesieniem, wówczas przewoźnik wniesie przesyłkę do pierwszego pomieszczenia w lokalu.
Selsey;https://selsey.pl;;;Czy przewoźnik wnosi mebel do wybranego pomieszczenia?;Przewoźnik wniesie przesyłkę do pierwszego pomieszczenia w lokalu.
Selsey;https://selsey.pl;;;Czy jest możliwość jednej dostawy wszystkich produktów?;Nasze produkty posiadają różne czasy wysyłki i są wysyłane z różnych magazynów. Jedna dostawa wiąże się z wydłużeniem czasu realizacji oraz zwiększeniem kosztów dostawy. Jeśli zdecydujesz się na to rozwiązanie, skontaktuj się z nami na: biuro@selsey.pl.
Selsey;https://selsey.pl;;;Czy jest możliwa wysyłka zagranicę?;Obecnie zamówienia z polskiego sklepu realizujemy wyłącznie na terenie kraju. Jeśli jesteś z Niemiec, możesz wygodnie złożyć zamówienie w naszym niemieckim sklepie: https://selsey.de/
Selsey;https://selsey.pl;;;Czy muszę założyć konto, aby dokonać zakupu?;Nie. Możesz dokonać zakupu bez rejestracji. Zachęcamy jednak do założenia konta. Na bieżąco będziesz mógł śledzić status realizacji swojego zamówienia.
Selsey;https://selsey.pl;;;W jaki sposób mogę anulować swoje zamówienie?;Jeśli chcesz anulować zamówienie, skontaktuj się z nami, wypełniając formularz lub wysyłając wiadomość email na adres: orders@selsey.pl.
Selsey;https://selsey.pl;;;Jak mogę sprawdzić status zamówienia?;Aktualny status zamówienia dostępny jest pod linkiem, który umieszczamy w powiadomieniach do zamówienia. Jeśli pojawią się dodatkowe pytania zachęcamy do kontaktu z nami pod adresem orders@selsey.pl lub na chacie dostępnym na stronie naszego sklepu.
Selsey;https://selsey.pl;;;Czy jest możliwość opóźnienia wysyłki zamówienia? Jeśli tak, to o jaki czas?;Tak, możemy opóźnić wysyłkę Twojego zamówienia, ale maksymalnie o 20 dni kalendarzowych od czasu wysyłki, który podany jest w ofercie. Informacja musi trafić do nas w uwagach do zamówienia. Zamówienia z czasem realizacji 24-48h nie podlegają opóźnieniu wysyłki.
Selsey;https://selsey.pl;;;Co oznacza, że produkt jest w przedsprzedaży?;Oznacza to, że obecnie nie posiadamy na swoim magazynie zapasu tego produktu, ale oczekujemy na dostawę dużej ilości. W związku z produkcją dużej partii produktu terminy wysyłki mogą ulec przesunięciu. Najczęściej zakup w przedsprzedaży wiąże się również z lepszą ceną.
Selsey;https://selsey.pl;;;Jak mogę złożyć zamówienie?;Zamówienie możesz złożyć bezpośrednio przez naszą stronę internetową, dodając produkty do koszyka i przechodząc przez proces zamówienia.
Selsey;https://selsey.pl;;;Czy oferujecie montaż mebli?;Tak, przy wybranych produktach oferujemy taką usługę. Informacja o dostępności takiej usługi widoczna jest na karcie produktu.
Selsey;https://selsey.pl;;;Czy kolory mebli mogą różnić się od tych na zdjęciach?;Tak, niewielkie różnice kolorystyczne są możliwe ze względu na ustawienia monitora oraz oświetlenie podczas zdjęć.
Selsey;https://selsey.pl;;;Czy wszystkie meble wymagają montażu?;Większość mebli dostarczana jest w paczkach do samodzielnego montażu, z instrukcją.
Selsey;https://selsey.pl;;;Czy oferujecie meble na wymiar?;Meble oferowane w naszym sklepie są dostępne jedynie w kolorach i rozmiarach podanych na stronie konkretnego produktu. Nie mamy możliwości zmiany rozmiaru, czy wprowadzenia dodatkowych barw. W trosce o powtarzalność i jakość naszych produktów unikamy sprzedaży mebli na wymiar. Służymy natomiast doradztwem, by dopasować rozwiązanie do Twoich indywidualnych potrzeb.
Selsey;https://selsey.pl;;;Czy mogę zamówić próbki tkanin?;Tak, wszystkie oferowane próbki tkanin znajdziesz pod tym linkiem .
Selsey;https://selsey.pl;;;Czy mogę opłacić zamówienie przy dostawie?;Nie ma możliwości zapłaty za zamówienie przy odbiorze.
Selsey;https://selsey.pl;;;Ile mam czasu na opłacenie zamówienia, zanim zostanie ono anulowane?;Płatność jest wymagana w momencie składania zamówienia. Akceptujemy karty kredytowe, Apple Pay, Google Pay oraz Przelewy24 (w tym BLIK). Jedynym wyjątkiem jest płatność ratalna - w tym przypadku masz 48 godzin na wypełnienie wniosku kredytowego w banku.
Selsey;https://selsey.pl;;;W jaki sposób mogę złożyć reklamację?;Reklamację możesz złożyć przez formularz dostępny na naszej stronie lub wysyłając wiadomość na adres: reklamacje@selsey.pl. Opisz proszę dokładnie swój problem i jeśli jest to możliwe załącz zdjęcia. Prosimy nie wyrzucaj opakowań zewnętrznych reklamowanych produktów.
Selsey;https://selsey.pl;;;Ile mam czasu na zgłoszenie reklamacji?;Od momentu dostawy produktu, masz 24 miesiące na zgłoszenie reklamacji.
Selsey;https://selsey.pl;;;W jakim czasie reklamacje są rozpatrywane?;Reklamacje rozpatrujemy w terminie do 14 dni kalendarzowych od złożenia stosownego zgłoszenia, zgodnie z obowiązującymi przepisami.
Selsey;https://selsey.pl;;;Kurier poinformował mnie, że przesyłka jest uszkodzona. Co robić?;W takim przypadku nie odbieraj uszkodzonej przesyłki. Jest bardzo prawdopodobne, że jeśli paczka jest zniszczona, produkt znajdujący się wewnątrz również doznał uszkodzeń. Jeśli jednak uważasz, że uszkodzenie paczki nie będzie miało wpływu na stan produktu, możesz przyjąć paczkę. Jednak pamiętaj, by odnotować na protokole dostawy informację o uszkodzeniu opakowania. Dokonaj również oględzin wnętrza paczki przy kurierze, a w przypadku wystąpienia uszkodzeń na produkcie, odnotuj to z kurierem na protokole dostawy.
Selsey;https://selsey.pl;;;Produkt dotarł uszkodzony. Co mogę zrobić?;W przypadku odkrycia uszkodzenia mebla po otwarciu paczki, koniecznie skontaktuj się z dostawcą w celu spisania protokołu szkody. Masz na to aż 7 dni od momentu doręczenia przesyłki. Kolejnym krokiem jest kontakt z nami przez formularz kontaktowy lub wysyłając wiadomość na nasz adres: reklamacje@selsey.pl.
Selsey;https://selsey.pl;;;Otrzymałem produkt inny, niż zamawiałem, co robić?;Nie rozpoczynaj użytkowania ani nie montuj produktu. Tak szybko jak to możliwe wypełnij nasz formularz reklamacyjny. Pamiętaj, aby dołączyć do niego zdjęcie etykiety otrzymanego produktu. Pozwoli nam to sprawniej zweryfikować pomyłkę.
Selsey;https://selsey.pl;;;W jaki sposób mogę zgłosić chęć zwrotu produktu?;Chęć zwrotu możesz zgłosić przez, formularz dostępny na naszej stronie lub wysyłając wiadomość na adres: reklamacje@selsey.pl. Szczegółowe informacje dotyczące procedury zwrotu znajdziesz w zakładce Reklamacje i zwroty.
Selsey;https://selsey.pl;;;Jaki mam czas na odstąpienie od umowy i zwrot produktu?;Standardowo masz 14 dni kalendarzowych na zwrot produktu od momentu jego dostawy. Jeżeli jesteś subskrybentem naszego newslettera czas na zwrot od momentu dostawy wydłuża się do 60 dni.
Selsey;https://selsey.pl;;;Kiedy otrzymam zwrot pieniędzy za zwrócony przedmiot?;Zwrot środków realizowany jest do 14 dni kalendarzowych od momentu dostarczenia produktu na magazyn Sprzedającego.
